replica	window_center_A	seed
000	6.0	610001
001	7.0	617920
002	8.0	625839
003	9.0	633758
004	10.0	641677
005	11.0	649596
006	12.0	657515
007	13.0	665434
008	14.0	673353
009	15.0	681272
010	16.0	689191
011	17.0	697110
012	18.0	705029
013	19.0	712948
014	20.0	720867
015	21.0	728786
016	22.0	736705
017	23.0	744624
018	24.0	752543
